,word,Ambiguity,N,Entropy,Dissimilarity,Dominance,Communities,Norms
44,13,0.563109837317489,4,0.8454528113518524,0.6660452597195745,0.5402298850574713,"[['impar', 'número', 'primo'], ['mala suerte', 'yeta'], ['suerte'], ['martes', 'viernes']]","[54, 21, 16, 9]"
45,apóstoles,0.362013882750993,2,0.44295867853848536,0.817263325657001,0.9080459770114943,"[['12', 'Jesús', 'biblia', 'cristianos', 'dios', 'doce', 'iglesia', 'religión', 'santos', 'ángeles'], ['seguidores']]","[91, 9]"
46,año,0.31200289794959407,3,0.37524403605612633,0.831466640293057,0.891566265060241,"[['calendario', 'ciclo', 'día', 'días', 'edad', 'mes', 'meses', 'tiempo'], ['cumpleaños'], ['medida']]","[89, 7, 4]"
47,boca,0.2427566762835262,3,0.2723187780591996,0.8914430286946762,0.9306930693069307,"[['River', 'beso', 'besos', 'cara', 'cuerpo', 'dientes', 'labio', 'labios', 'lengua'], ['fútbol'], ['grande']]","[93, 4, 3]"
48,doce,0.5876340507395781,5,0.7669561284436677,0.7661899148417057,0.5040650406504065,"[['apóstoles', 'docena', 'huevos', 'once', 'trece'], ['cantidad', 'número', 'par'], ['años', 'horas', 'meses'], ['medianoche', 'mediodía'], ['canal']]","[50, 28, 13, 7, 2]"
49,docena,0.8815341146295932,2,0.9938067403672293,0.8870277075237492,0.5462962962962963,"[['12', 'centena', 'decena', 'doce', 'número'], ['comida', 'empanadas', 'facturas', 'huevos']]","[55, 45]"
50,horas,0.21058738730228865,4,0.24997536336067716,0.8424325680384849,0.9256198347107438,"[['días', 'largas', 'minutos', 'reloj', 'segundos', 'tiempo'], ['mil'], ['vida'], ['trabajo']]","[93, 2, 2, 2]"
51,huevos,0.5666491872436692,3,0.6553654578646743,0.864630841378088,0.7164179104477612,"[['clara', 'gallina', 'gallinas', 'pascua', 'yema'], ['comida', 'proteína', 'proteínas'], ['romper']]","[72, 24, 4]"
52,meses,0.10074906213054517,2,0.1805246676420578,0.5580902789989302,0.9727272727272728,"[['año', 'años', 'calendario', 'doce', 'días', 'horas', 'período', 'semanas', 'tiempo'], ['estaciones']]","[97, 3]"
53,once,0.5017685504455058,4,0.5445744505877006,0.9213956877778623,0.7792207792207793,"[['diez', 'doce', 'impar', 'número', 'uno'], ['barrio'], ['estación'], ['fútbol']]","[78, 10, 8, 4]"
54,trece,0.5171911637908442,5,0.7571805641333831,0.683048652183493,0.42,"[['impar', 'número'], ['canal', 'mala suerte', 'suerte', 'yeta'], ['años', 'catorce'], ['adolescencia'], ['doce']]","[42, 40, 10, 4, 4]"
55,impar,0,1,0,0,1.0,"[['desparejo', 'matemática', 'número', 'números', 'par', 'primo', 'tres', 'uno']]",[100]
56,mala suerte,0.43066334654655586,3,0.7595929166099525,0.5669659855025998,0.673469387755102,"[['desgracia', 'infortunio', 'superstición', 'yeta'], ['buena suerte', 'racha', 'suerte'], ['perder']]","[67, 22, 10]"
57,martes,0.3197201956152259,3,0.4137455322059677,0.7727459772449342,0.872,"[['día', 'jueves', 'lunes', 'miércoles', 'semana', 'trabajo', 'viernes'], ['13', 'segundo', 'trece'], ['planeta']]","[87, 10, 3]"
58,primo,0.4868167032426941,2,0.5916727785823275,0.8227802948939567,0.8571428571428571,"[['amigo', 'familia', 'familiar', 'hermano', 'pariente', 'prima', 'tía', 'tío'], ['indivisible', 'número']]","[86, 14]"
59,viernes,0.4666691551674547,4,0.5697625040337522,0.8190590849056815,0.7333333333333333,"[['descanso', 'domingo', 'día', 'fin de semana', 'jueves', 'lunes', 'noche', 'semana', 'sábado', 'trece'], ['alegría', 'cerveza', 'fiesta'], ['final'], ['salida']]","[73, 19, 5, 3]"
60,yeta,0.3957136542037532,3,0.7616647246830965,0.5195378509466834,0.5454545454545454,"[['desgracia', 'mala suerte', 'malo', 'trece'], ['mala', 'suerte'], ['superstición']]","[55, 41, 5]"
