,word,max_dominance,n,entropy
428,sheet,89,2,0.4999159582
429,shin,94,2,0.3274449192
430,shiver,90,2,0.4689955936
431,shock,84,3,0.9056122756
432,shook,95,2,0.2863969571
433,shore,89,2,0.4999159582
434,shower,91,2,0.4364698171
435,shy,94,2,0.3274449192
436,sin,91,2,0.4489445321
437,size,96,2,0.2422921891
438,skate,89,2,0.4999159582
439,skipper,55,2,0.992774454
440,slack,94,2,0.3274449192
441,slam,96,2,0.2422921891
442,slew,61,3,1.560072825
443,slick,69,2,0.9569071359
444,sling,94,2,0.3274449192
445,slip,83,2,0.6577047787
446,slug,62,2,0.9580420222
447,smack,73,4,1.191180432
448,smelt,59,3,1.384357889
449,snuff,64,2,1.048902015
450,sock,71,2,0.8687212463
451,soil,61,2,0.9647995485
452,sole,56,3,1.105401996
453,sounding,88,2,0.5293608653
454,sow,63,2,0.9506720927
455,spade,62,2,0.9580420222
456,span,93,2,0.3659236509
457,spank,93,2,0.3659236509
458,spat,55,4,1.285865002
459,spear,92,2,0.4021791902
460,spell,51,3,1.482473228
461,sperm,92,2,0.4021791902
462,spike,92,2,0.5015858945
463,spill,97,2,0.1943918578
464,spit,85,2,0.6098403047
465,spoke,70,2,0.8812908992
466,spray,96,2,0.2422921891
467,spruce,52,2,0.998845536
468,squash,66,2,1.034556071
469,stable,60,2,0.9709505945
470,staff,89,2,0.4999159582
471,stake,53,2,0.9974015886
472,stalk,58,2,1.174116589
473,stall,50,2,1.234497797
474,stamina,93,2,0.3659236509
475,staple,71,2,0.8687212463
476,steep,88,2,0.5293608653
477,steer,76,2,0.7950402794
478,stem,73,3,1.109055172
479,stern,70,2,0.8812908992
480,stick,58,2,0.981453895
481,stir,95,2,0.2863969571
482,stole,92,2,0.4021791902
483,stoop,50,3,1.234497797
484,stove,90,2,0.4689955936
485,strain,79,2,0.7414827399
486,strand,51,2,0.9997114418
487,strapping,56,2,0.9895875212
488,strip,58,2,0.981453895
489,stripe,84,2,0.6882759653
490,strut,89,2,0.5751601861
491,stud,66,2,0.924818705
492,stunt,62,2,0.9580420222
493,supply,91,2,0.4364698171
494,swallow,80,2,0.7219280949
495,swarm,92,2,0.4021791902
496,tacky,69,2,0.8931734584
497,tag,57,2,0.9858150372
498,tanner,86,2,0.6362113374
499,tap,60,2,1.085509377
500,tar,98,2,0.1414405425
501,tart,58,2,1.051872577
502,tattoo,98,2,0.1414405425
503,taxis,83,2,0.6577047787
504,tear,61,2,0.9647995485
505,tee,76,2,0.7950402794
506,temple,64,3,1.091657255
507,temporal,56,2,0.9895875212
508,tend,57,2,0.9858150372
509,tender,52,3,1.478244239
510,tense,58,2,0.981453895
511,test,96,2,0.2747433141
512,thinner,82,2,0.6800770457
513,tick,61,3,1.150857358
514,tier,94,2,0.3274449192
515,tip,42,4,1.846108062
516,tire,58,2,0.981453895
517,tit,86,2,0.6891821477
518,titanic,77,2,1.007697575
519,toast,59,2,0.9765004688
520,toaster,87,2,0.557438185
521,toil,62,2,0.9580420222
522,toll,80,2,0.7219280949
523,tot,75,2,1.052072356
524,tow,91,2,0.4364698171
525,tower,95,2,0.2863969571
526,trace,94,2,0.3274449192
527,tract,86,2,0.5842388116
528,trap,90,3,0.5571246835
529,troll,73,2,1.01567393
530,truck,89,2,0.5702652023
531,tuna,98,2,0.1414405425
532,twit,82,2,0.6800770457
533,undone,55,2,0.992774454
534,utter,51,2,1.232105322
535,van,94,2,0.3274449192
536,vault,54,2,0.9953784388
537,verse,80,2,0.7219280949
538,vet,60,2,0.9709505945
539,vice,78,2,0.760167503
540,waffle,82,2,0.7970810816
541,wax,80,2,0.8438961558
542,weed,96,2,0.3200293038
543,whale,66,2,1.034556071
544,wind,64,2,0.9426831893
545,wise,85,2,0.6098403047
546,wit,94,2,0.3274449192
547,woof,94,2,0.3274449192
548,wound,73,2,0.8414646362
549,wrinkle,96,2,0.2422921891
550,yard,56,2,1.106964116
551,yen,81,2,0.7014714599
552,zip,67,2,0.9149263728
