word,rt,ambiguity,ambiguity_binary,n_communities,entropy,dissimilarity,max_dom,Val_Mean,AoA,SemD,Length,LgSUBTLWF,OLD,log_rt,max_dom_scaled
essay,674.6363636363636,0.4824588225728947,1,4,0.7170645693247356,0.6728247959974223,0.6428571428571429,4.9,8.39,1.4,5,2.497,2.35,2.829069746430695,64.28571428571429
essence,737.2903225806451,0.5986768860422023,1,6,0.7445515184875308,0.8040771809294597,0.4913793103448275,6.75,11.9,1.91,7,2.459,2.85,2.867638533540414,49.137931034482754
essential,665.2727272727273,0.2765864513573997,1,4,0.3821586111722518,0.7237477928574865,0.868421052631579,6.26,10.28,2.13,9,2.394,3.3,2.822999719992364,86.8421052631579
establish,753.5757575757576,0.6697383446019425,1,5,0.7836955483992203,0.8545899564824029,0.4326923076923077,5.58,10.63,2.17,9,2.51,3.4,2.877126918818231,43.269230769230774
estate,715.7096774193549,0.5365453983945301,1,3,0.7075189401329798,0.7583477529148338,0.6906474820143885,5.65,10.84,1.71,6,3.032,1.85,2.854736889536718,69.06474820143885
estimate,708.6060606060606,0.6454700436835733,1,3,0.7501209432323882,0.8604879646502631,0.696551724137931,5.95,8.78,1.78,8,2.387,2.6,2.8504048624714926,69.6551724137931
eternal,698.5757575757576,0.1408575409585118,1,2,0.2745726653977338,0.5130064231065095,0.952755905511811,6.76,8.26,1.53,7,2.739,2.7,2.844213510397312,95.2755905511811
eternity,670.3823529411765,0.4246418201676634,1,3,0.5744829233312602,0.7391722241372963,0.802547770700637,6.05,8.6,1.53,8,2.611,2.95,2.826322573460613,80.2547770700637
ethic,654.3,0.3773195377059591,1,4,0.484776982467518,0.7783363306265083,0.8166666666666667,6.0,10.21,1.52,5,1.732,1.95,2.8157769202983625,81.66666666666667
ethical,694.375,0.0,0,1,0.0,0.0,1.0,5.78,10.9,1.54,7,2.146,2.75,2.841594076284943,100.0
ethics,666.90625,0.3835382748542889,1,3,0.6380992450077201,0.6010636712940299,0.7413793103448276,6.0,11.06,1.58,6,2.438,2.45,2.824064787485819,74.13793103448276
etiquette,816.8064516129032,0.5091002252334983,1,3,0.632776763749336,0.804549494227588,0.7674418604651163,6.0,9.5,1.67,9,1.987,4.15,2.9121191594030673,76.74418604651163
euphoria,706.6896551724138,0.4590182479284121,1,2,0.708392686703044,0.6479714663130496,0.8066666666666666,7.26,12.11,1.8,8,1.415,3.8,2.8492287339715503,80.66666666666666
evacuate,803.78125,0.7033497328804119,1,6,0.8794788845664153,0.7997346442571667,0.3757225433526011,3.4,8.9,1.53,8,2.458,2.5,2.9051378710815547,37.572254335260105
evade,683.6129032258065,0.207100033818921,1,3,0.2463478666754271,0.8406812553882733,0.9393939393939394,4.55,11.11,2.02,5,1.663,1.9,2.834810251454902,93.93939393939394
evaluate,714.40625,0.5424372980981739,1,4,0.8497782617212544,0.6383280468947852,0.4912280701754385,5.1,9.11,1.69,8,1.949,2.6,2.853945245332672,49.12280701754385
evaluation,882.5294117647059,0.2939581319674688,1,2,0.6079696120060725,0.4835079355323646,0.8507462686567164,4.86,11.37,1.52,10,2.354,2.3,2.9457291878890564,85.07462686567165
evaporate,817.9375,0.4886453602360986,1,2,0.5665095065529053,0.8625545636637342,0.8666666666666667,5.4,10.05,1.66,9,1.398,3.25,2.9127201197567394,86.66666666666667
evasion,798.6,0.4755998087047821,1,4,0.6139286995877286,0.774682481897591,0.7288135593220338,3.36,12.0,1.66,7,1.778,2.4,2.9023293058583186,72.88135593220339
evasive,848.0,0.6805474151786431,1,7,0.898499209901377,0.7574268376411181,0.3055555555555556,3.24,12.5,1.78,7,1.968,2.75,2.9283958522567137,30.555555555555557
evening,703.5454545454545,0.3012974086613358,1,3,0.3799475222381287,0.7929974299779756,0.8914285714285715,7.09,5.84,1.78,7,3.789,2.15,2.847292161501474,89.14285714285714
event,566.84375,0.3019556324234252,1,3,0.5302910328104032,0.5694149320669061,0.8260869565217391,6.21,7.81,1.96,5,3.129,1.85,2.753463362482838,82.6086956521739
everyday,641.7647058823529,0.5640998235847077,1,3,0.7468083415706139,0.7553475131227757,0.6016260162601627,5.47,5.05,1.89,8,2.745,3.65,2.807375829210068,60.16260162601627
evict,787.59375,0.519005169320218,1,4,0.7194797314090424,0.7213617655410371,0.4863013698630137,2.63,10.74,1.53,5,1.568,2.0,2.896302261108435,48.63013698630137
evidence,588.65625,0.3932249077360247,1,3,0.4924420556400563,0.7985201573105426,0.8357142857142857,4.72,10.58,1.99,8,3.637,2.6,2.7698617594581054,83.57142857142857
evident,617.2058823529412,0.5171862623208916,1,5,0.7137429661961029,0.7246113612540922,0.6219512195121951,5.1,12.55,2.1,7,1.839,2.7,2.7904300565052536,62.19512195121951
evolution,727.4117647058823,0.4340177689640841,1,4,0.5586868595332208,0.7768533688562196,0.7394366197183099,5.35,10.0,1.36,9,2.436,2.4,2.8617803207845824,73.94366197183099
